id,title,url,source,publish_time,crawl_time,deadline,category,organizer,participants,prize,requirement,contact,content,keywords,tags,spider_name,created_at,updated_at
1,关于拟确定王薇伊等38名同学为发展对象的公示,https://kjxy.hbue.edu.cn/9e/d1/c1679a368337/page.htm,会计学院,2026-04-09,2026-04-12 14:59:08,,通知公告,,,,,,"按照发展党员工作相关要求，本科生党总支于2026年4月拟确定王薇伊等38名同学(具体名单见附件1)为发展对象。王薇伊等38名同学自递交入党申请书以来，在政治思想上与党中央保持高度一致，自觉学习党的理论知识，入党动机端正，综合素质全面发展，模范作用突出，具备发展对象基本条件，现予以公示，公示时间为7天(自2026年4月9日到4月15日)。广大学生如对以上同学有异议，请于2026年4月15日17:00之前，向会计学院邵老师、杨老师反映。地点:群贤楼218，电话:027-81977053。反映情况要实事求是，具体真实，提倡实名,以便于调查核实。

附件1：会计学院2026年4月拟确定发展对象名单（本科生）.pdf https://kjxy.hbue.edu.cn/_upload/article/files/25/16/29ca7b324c7c960fc67a6da3a83c/1b2ebb60-609c-4675-86dd-4d740c68424c.pdf

会计学院本科生党总支

2026年4月9日","[""发展"", ""同学"", ""对象"", ""确定"", ""王薇""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:08,2026-04-12 14:59:08
2,关于拟确定张越等17名同学为党员发展对象的公示,https://kjxy.hbue.edu.cn/9d/9f/c1679a368031/page.htm,会计学院,2026-04-01,2026-04-12 14:59:09,,通知公告,,,,,,"经个人申请、班级民主评议、各支部考察、各支部委员会研究、研究生党总支讨论、院党委审核，现将张越等17名研究生(具体名单见附件)确定为党员发展对象。为进一步增强发展党员工作的透明度，加强民主监督，根据发展党员工作有关要求，现将确定的党员发展对象名单进行公示。

公示时间自2026年4月1日至4月8日。公示期间，若对以上同志有异议，请以书面(署名)或电话形式进行反映。反映问题应实事求是、客观公正、具体真实。

联系人：郭老师

地址：群贤楼216A办公室

电话：027-81972982

关于拟确定张越等17名同学为党员发展对象的公示.pdf https://kjxy.hbue.edu.cn/_upload/article/files/3e/56/8fe4e5234866b25a7191c6c69607/0021f944-1105-45ca-8a42-7f1b10af429d.pdf

湖北经济学院会计学院研究生党总支

2026年4月1日","[""公示"", ""确定"", ""党员"", ""发展"", ""对象""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:09,2026-04-12 14:59:09
3,会计学院本科生第24期党员发展对象选拔通知,https://kjxy.hbue.edu.cn/9c/fd/c1679a367869/page.htm,会计学院,2026-03-30,2026-04-12 14:59:10,,通知公告,,,,,,"各党支部：

根据发展党员工作相关要求，请做好本次发展对象选拔工作。具体要求如下：

一、名额分配标准

本学期新认定发展对象名额分给学生党支部，每个班级不固定名额，符合条件的同学自愿申请。经班级、党支部量化打分后，各候选人在所属党支部进行排序，按照排序确定发展对象名单。

二、党员发展对象的基本条件

（一）提交入党申请书时年满十八岁。

（二）获群团组织推优，被党组织确定为入党积极分子并培养考察满一年（截止2026年3月30日）及以上，期间获得入党积极分子培训结业证书。

（三）上一学期各门课程考试无不及格现象；上一学期平均绩点为班级排名前50%。

（四）参加过会计学院党史知识测试，并且成绩达到80分及以上。

（五）遵纪守法，行为文明，大学期间无记过及以上处分。

三、选拔程序

（一）召开入党发展对象选拔会议前，各党支部、班级应全面了解申请人的入党信息，根据选拔条件，确定候选人名单。

（二）各支部根据附件1《湖北经济学院会计学院本科生党员发展对象综合评价实施细则（修订）》进行量化评分，并依据指标确定拟选拔发展对象名单。

1．召开班级会议，候选人应在班级中开展竞选演讲；班级成员本着公平、公开、公正的原则，通过无记名投票方式进行推选。在选拔过程中，严禁任何拉票、徇私舞弊、弄虚作假行为。若出现违纪行为，一经核实，将取消本次发展对象选拔资格。

2．参加发展对象选拔的同学准备相应材料的原件或复印件等证明材料，供班级及党支部打分参考。

3．班级根据《湖北经济学院会计学院本科生党员发展对象综合评价实施细则（修订）》，公平公正的对候选人的日常表现、学业水平、群众基础等进行打分。

4．班主任、辅导员根据学生在校期间表现对候选人进行打分。

5．党支部支委根据《湖北经济学院会计学院本科生党员发展对象综合评价实施细则（修订）》，公平公正地对候选人进行打分。

6．附加分此项由个人提交证明材料、班级初审、支部汇总、负责学生党建工作的老师再次审核，无异议后加入总分。

（三）名单上报学生党总支、学院党委讨论。

四、预备党员名额

1.本学期新认定发展对象名额为此次预备党员名额的1.2倍，例：从12名发展对象中，选10名为预备党员。

2.往期发展对象参与此次发展对象打分环节，但不占用此次新认定发展对象名额。

3.后期选拔预备党员时，往期发展对象和本学期新认定发展对象同时排序，按排序先后确定预备党员名单。

五、注意事项

1.各党支部及班级应召开专门会议，全文传达《会计学院本科生第24期发展对象选拔通知》。

2.推选的发展对象要符合基本条件，成熟一个、发展一个。

3.各班级在4月3日前将附件2《会计学院24期发展对象量化打分表（班级用）》发给支部负责人。

选拔过程中，若有同学对班级推选程序有异议，请于4月3号17：00前向邵老师、杨老师反映，地点：群贤楼218，联系电话：027-81977053。本科生党总支将核实并处理。

附件2 会计学院24期发展对象量化打分表（班级用表）.xlsx https://kjxy.hbue.edu.cn/_upload/article/files/92/67/fd10a54346598c27213f4aeb4a97/b286dd1c-09f9-4848-a3a0-1647661e31bd.xlsx

湖北经济学院会计学院本科生党员发展对象综合评价细则（修订）.pdf https://kjxy.hbue.edu.cn/_upload/article/files/92/67/fd10a54346598c27213f4aeb4a97/2413169c-f734-4f51-8fde-a29ad989d2bb.pdf

会计学院本科生党总支

2026年3月30日","[""发展"", ""对象"", ""班级"", ""选拔"", ""会计学院""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:10,2026-04-12 14:59:10
4,筑牢反诈防线 守护青春财产——会计学院开展防电信诈骗主题班会,https://kjxy.hbue.edu.cn/9c/b4/c1679a367796/page.htm,会计学院,2026-03-30,2026-04-12 14:59:11,,通知公告,,,,,,"为提升学生防范电信网络诈骗的意识和能力，守护学生财产安全，3月29日晚，会计学院组织各班级开展防电信诈骗主题班会，全体学生参与，各班级班主任主持并全程指导。

（财务2541班观看反诈宣传视频）

班会伊始，各班级集中观看藏龙岛派出所录制的反诈宣传视频。视频结合辖区高发诈骗案例，还原了刷单返利、冒充客服退款等常见诈骗套路，重点讲解诈骗分子针对大学生的惯用话术，让学生直观感受诈骗的隐蔽性与危害性。

[图片] https://kjxy.hbue.edu.cn/_upload/article/images/b0/8a/2d4a89c141118ae822aab1cc305f/c3b83849-26d8-41f3-b825-721857712b6f.jpg

（审计2341班开展反诈问卷答题）

观看视频后，开展闭卷反诈能力测试。试题结合高校高发诈骗场景设计，涵盖诈骗识别、防范技巧及应急处置等内容，实现“以考促学、以学践防”。学生认真作答，答题中梳理反诈知识、强化防范思路。测试结束后，班主任针对高频错题和重点知识点详细讲解，结合民警反诈经验帮助学生查漏补缺，巩固学习成果。

最后，各班级班主任结合会计学院实际，讲解典型诈骗案例。案例选取了近一年会计学院学子被诈骗案例，包括冒充客服退款、虚假实习兼职、黄牛代购票等场景，剖析诈骗分子利用学生社会经验不足、防范意识薄弱等特点实施诈骗的套路及识别要点。

此次主题班会通过“视频警示+能力测试+案例讲解”的形式，让反诈知识入脑入心，有效提升了学生的识骗、防骗、拒骗能力。下一步，会计学院将以此次班会为契机，推进反诈宣传教育常态化，通过班级群、主题宣讲等渠道推送反诈提醒，营造“人人识诈、人人防诈、人人反诈”的校园氛围，守护学生财产安全，助力平安经院建设。","[""诈骗"", ""反诈"", ""学生"", ""会计学院"", ""班会""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:11,2026-04-12 14:59:11
5,会计学院2025年度“五四”先进集体、优秀个人推荐名单公示,https://kjxy.hbue.edu.cn/9d/17/c1679a367895/page.htm,会计学院,2026-03-30,2026-04-12 14:59:14,,通知公告,,,,,,"根据湖北经济学院《关于评选2025年度“五四”先进集体、优秀个人的通知》要求，我院依照相关评选条件，经过个人申报、班级评选、学院审核等环节，拟推荐田文君等105名学生参评优秀个人称号，拟推荐财务智能2341团支部、CIMA2341团支部、会计2442团支部、会计YZ2532团支部参评先进班集体。

优秀个人名单如下：

序号	姓名	所在团支部	拟表彰称号
1	田文君	审计2241	优秀团员
2	汪诗琪	审计2241	优秀团员
3	付雪婷	财务2241	优秀团员
4	童宇轩	ACCA2341	优秀团员
5	王心怡	ACCA2341	优秀团员
6	操玥	ACCA2341	优秀团员
7	李安澜	CIMA2341	优秀团员
8	王施雅	会计2341	优秀团员
9	谈思琪	会计2341	优秀团员
10	胡苾瑶	会计2341	优秀团员
11	刘张弛	会计2342	优秀团员
12	宋涵冰	会计2342	优秀团员
13	邓露洁	财务2341	优秀团员
14	贺子宸	财务2341	优秀团员
15	陈宇萱	财务2342	优秀团员
16	郭思怡	财务2342	优秀团员
17	王倩茹	财务2342	优秀团员
18	张婧茹	审计2341	优秀团员
19	张欣欣	审计2341	优秀团员
20	董梦园	审计2342	优秀团员
21	兰娅祺	审计2342	优秀团员
22	邹远雅欣	审计2342	优秀团员
23	易天铭	ACCA2441	优秀团员
24	陈祺龙	ACCA2441	优秀团员
25	李佳润	ACCA2441	优秀团员
26	张雨洁	CIMA2441	优秀团员
27	翟静平	会计2441	优秀团员
28	邓钰涵	会计2441	优秀团员
29	陈思迆	会计2441	优秀团员
30	檀静仪	会计2442	优秀团员
31	吴江涛	会计2442	优秀团员
32	胡蝶	会计2442	优秀团员
33	刘婉晨	会计2443	优秀团员
34	周凯悦	会计2443	优秀团员
35	杨还	会计2443	优秀团员
36	梅慧珍	会计2444	优秀团员
37	廖米乐	会计2444	优秀团员
38	赵孟悦	会计2444	优秀团员
39	张芷萌	会计实验2441	优秀团员
40	龚美琳	会计实验2441	优秀团员
41	王晗	财务2441	优秀团员
42	莫淑涵	财务2443	优秀团员
43	余依冰	财务2443	优秀团员
44	陈宇鑫	审计2441	优秀团员
45	王悠然	审计2441	优秀团员
46	熊怡萍	审计2441	优秀团员
47	赵梦雪	审计2442	优秀团员
48	柯海涛	审计2442	优秀团员
49	丰小妍	审计2442	优秀团员
50	郭雯妍	审计2443	优秀团员
51	汪欣茹	审计2443	优秀团员
52	余梓睿	ACCA2541	优秀团员
53	朱慧妍	ACCA2541	优秀团员
54	杨怡	CIMA2541	优秀团员
55	刘勋荣	会计2541	优秀团员
56	吴燕彬	会计2541	优秀团员
57	肖萧	会计2541	优秀团员
58	郝婧帆	会计2543	优秀团员
59	杨雨涵	会计2543	优秀团员
60	王星宇	会计2543	优秀团员
61	周影	会计2544	优秀团员
62	朱霏	会计实验2541	优秀团员
63	张朗	会计实验2541	优秀团员
64	汪子聪	财务2541	优秀团员
65	肖嘉淇	财务2541	优秀团员
66	赵可欣	财务2541	优秀团员
67	郑玉婷	财务2542	优秀团员
68	张晶晶	财务2542	优秀团员
69	颜紫涵	财务2543	优秀团员
70	陈欣妍	财务2543	优秀团员
71	李梦妮	审计2541	优秀团员
72	雷宇洁	审计2541	优秀团员
73	刘思羽	审计2542	优秀团员
74	陈曼凝	审计2542	优秀团员
75	罗诗晗	审计2542	优秀团员
76	李佳润	ACCA2441	优秀团干部
77	代雨薇	CIMA2441	优秀团干部
78	史明天	财务2341	优秀团干部
79	张昕玥	财务2342	优秀团干部
80	魏钰馨	财务2441	优秀团干部
81	吴江涛	会计2442	优秀团干部
82	田浩琪	会计2443	优秀团干部
83	金姝含	会计实验2441	优秀团干部
84	周祖亚	会计智能2341	优秀团干部
85	程阳	会计YZ2533	优秀团干部
86	龚楚	会计YZ2534	优秀团干部
87	饶新	会计YZ2531	优秀团干部
88	王美玲	会计YZ2333	优秀团员
89	郭雨雪	会计YZ2333	优秀团员
90	胡佳琪	会计YZ2431	优秀团员
91	潘心怡	会计YZ2433	优秀团员
92	石敬文	会计YZ2433	优秀团员
93	王玉龙	会计YZ2434	优秀团员
94	夏甜甜	会计YZ2434	优秀团员
95	陈芯蕊	会计YZ2531	优秀团员
96	朱静静	会计YZ2531	优秀团员
97	郭圆	会计YZ2531	优秀团员
98	黄巧琳	会计YZ2532	优秀团员
99	汪领娣	会计YZ2532	优秀团员
100	邓子怡	会计YZ2532	优秀团员
101	程阳	会计YZ2533	优秀团员
102	刘志杰	会计YZ2533	优秀团员
103	罗昊东	会计YZ2533	优秀团员
104	李泽林	会计YZ2534	优秀团员
105	谢飞	会计YZ2534	优秀团员

公示期3月30日-4月1日。公示期间，如对结果有异议，请向蔡老师反映。地点：群贤楼216b办公室，电话027-81972495。

中国共产主义青年团湖北经济学院会计学院委员会

2026年3月30日","[""优秀团员"", ""会计"", ""财务"", ""审计"", ""优秀""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:14,2026-04-12 14:59:14
6,赓续五四薪火，勇担青春使命 ——会计学院成功举办2025年度“五四”评优评先答辩会,https://kjxy.hbue.edu.cn/9e/22/c1679a368162/page.htm,会计学院,2026-03-29,2026-04-12 14:59:16,,通知公告,,,,,,"为落实从严治团要求，传承五四精神，选树青年先进典型，激发基层团支部活力，3月29日15时，会计学院2025年度五四评优评先答辩会在大学生活动中心第三报告厅顺利举行。会计学院团委书记蔡卓嵘到场指导，活动在庄严的团歌声中拉开帷幕。

前期，各团支部严格按照评选标准，经过内部竞选、材料申报、资格审核等环节，最终确定参与答辩的集体与个人。为确保评选公平、公正、公开，活动特别邀请各支部团支委代表到场观摩，全程监督评审工作。

答辩现场，五四红旗标兵候选人与参评团支部代表依次登台汇报。五四红旗标兵申报人张昕玥围绕思想成长、团学履职、学业科研、志愿服务等方面，全方位展示个人综合素养与先锋模范作用，用鲜活事例诠释新时代团员青年的责任与担当。参评团支部围绕思想引领、组织建设、学风建设、志愿服务、社会实践等核心维度，以详实数据与典型案例，全面展现支部建设成果与集体凝聚力，彰显基层团组织的强大活力与鲜明特色。

此次评优评先活动，充分发挥先进典型示范引领作用，进一步提升基层团组织活力，为学院团学工作高质量发展注入动力。下一步，会计学院将持续深化基层团组织建设，引导广大团员青年坚定理想、锤炼本领、担当作为，以青春之力服务学院发展与国家建设。","[""五四"", ""建设"", ""会计学院"", ""基层"", ""团支部""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:16,2026-04-12 14:59:16
7,财商启蒙进社区，绿色环保伴童行,https://kjxy.hbue.edu.cn/9d/05/c1679a367877/page.htm,会计学院,2026-03-29,2026-04-12 14:59:17,,通知公告,,,,,,"3月28日下午，为提升社区儿童财商素养、传播绿色环保理念，会院青协联合杨桥湖社区开展了“环保生财，趣玩财商”主题活动，引导儿童树立正确消费观，理解“绿色即财富”的深刻内涵。本次活动以互动游戏为载体，让小朋友们在欢声笑语中启蒙财商意识、学习环保知识。

[图片] https://kjxy.hbue.edu.cn/_upload/article/images/d6/cd/18dc22044977904080f8fe50b06f/09212f33-8cfe-4c85-92a6-7636ff8f9741.jpg

图1 志愿者教小朋友进行手绘货币游戏

活动以环保物品价格竞猜开启，小朋友们积极参与；财会绕口令挑战趣味十足，活跃现场氛围。手绘货币环节创意满满，孩子们用画笔表达对财富的理解；积分竞拍将气氛推向高潮，大家在权衡竞拍中体会节约与理财，志愿者全程细心引导，将财商教育与环保理念融入互动，让孩子们直观理解到，资源的循环利用既是环保，也是潜在的财富-积累，增强他们的环保意识与理性消费观念。

会院青协和杨桥湖社区以寓教于乐的形式，将财商启蒙与环保教育融入社区文明实践。未来，会院青协也将持续辐射周边更多社区，开展系列志愿活动，营造良好的社区氛围，让绿色理念与财商教育在社区落地生根。","[""环保"", ""财商"", ""社区"", ""绿色"", ""活动""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:17,2026-04-12 14:59:17
8,会计学院研究生第24期党员发展对象选拔通知,https://kjxy.hbue.edu.cn/9b/c4/c1679a367556/page.htm,会计学院,2026-03-25,2026-04-12 14:59:19,,通知公告,,,,,,"各党支部：

根据学校党委组织部和院党委要求，本学期党员发展工作已正式启动，请做好本次发展对象选拔工作。具体要求如下：

一、名额分配标准

本学期新认定发展对象名额分给研究生各年级，符合条件的同学自愿申请。量化打分后，各候选人在本年级进行排名，并确定发展对象名单。

二、发展对象的基本条件

（一）提交入党申请书时年满十八周岁。

（二）获团组织推优，确定为入党积极分子且培养考察满1年，获得入党积极分子培训结业证书。

（三）上一学期各门课程考试无不及格现象。

（四）该年度上半年选拔发展对象，研究生入学以来学业成绩加权平均分在专业排名前40%；该年度下半年选拔发展对象，研究生入学以来学业成绩加权平均分或学业奖学金当年排名在专业前40%；工作考核合格的学生干部为专业排名前50%。

（五）参加过会计学院党史知识测试，并且成绩达到80分及以上。

（六）遵纪守法、行为文明，研究生期间无记过及以上处分。

三、选拔程序

（一）召开发展对象选拔会议前，各党支部、班级应全面了解申请人的入党信息，根据选拔的基本条件进行初审，确定候选人名单。

（二）各支部根据附件1《湖北经济学院会计学院研究生党员发展对象评价细则（2025年修订）》的评价指标，公平公正地对候选人进行综合量化评分，研究讨论拟确立发展对象的名单。

1.班级民主评议。候选人在班级进行自我陈述演讲，班级同学开展投票，根据票数量化打分。班级投票过程中，杜绝拉票作假行为，一经发现，取消选拔资格。没有进行自我陈述者或得票低于投票人数半数，不能参与此次发展对象选拔。

2.导师与辅导员评价。导师和辅导员根据学生在校期间表现对候选人进行打分。对政治立场模糊，存在违反党的路线方针政策的言行者，可实行导师或辅导员一票否决制。

3.支部评价。所属党支部根据候选人提交思想汇报、理论学习情况、工作完成情况和支部活动参与情况等进行打分。

4.候选人提交材料。候选人填写并向团支书提交附件2《会计学院研究生党员发展对象综合评价表（自评表）》（纸质档及电子档）、相应证明材料的原件或复印件、附件3《拟发展对象综合评价征询导师意见书》纸质档。截止时间为2026年3月29日17点，逾期不予认定。

5.研究生党总支对各支部提交的候选人材料及综合评分进行复审，形成年级排名。各支部根据排名情况确定拟确立发展对象名单。

（三）名单上报研究生党总支、学院党委讨论。

四、注意事项

（一）选拔发展对象是一项政治工作，各党支部及班级务必重视，召开专门会议，全文传达《会计学院研究生第24期发展对象选拔通知》。

（二）推选的发展对象要符合基本条件，成熟一个、发展一个。

（三）各支部根据通知要求将附件4《会计学院研究生党员发展对象综合评价汇总表》及候选人证明材料提交至研究生党总支。

（四）选拔过程中，若有同学对推选程序有异议，请于3月30号12点前向郭老师反映，地点：群贤楼216A，联系电话：027-81972982。研究生党总支将核实并处理。

湖北经济学院会计学院研究生党总支

2026年3月25日

附件1：湖北经济学院会计学院研究生党员发展对象评价细则（2025年修订）.pdf https://kjxy.hbue.edu.cn/_upload/article/files/8f/b7/a09c51494558979b8700922dd09b/b1940477-cd7f-4027-9495-34ce78438cb2.pdf

附件2：会计学院研究生党员发展对象综合评价表（自评表）.xlsx https://kjxy.hbue.edu.cn/_upload/article/files/8f/b7/a09c51494558979b8700922dd09b/f861f0a5-a23f-48a5-abce-85362ff08e3e.xlsx

附件3：拟发展对象综合评价征询导师意见书.docx https://kjxy.hbue.edu.cn/_upload/article/files/8f/b7/a09c51494558979b8700922dd09b/19a6ef05-5399-4b5e-9e7a-91b00c85f071.docx

附件4：会计学院研究生党员发展对象综合评价汇总表.xlsx https://kjxy.hbue.edu.cn/_upload/article/files/8f/b7/a09c51494558979b8700922dd09b/74306dd8-54e6-4b45-a442-8e073f4b49e7.xlsx","[""发展"", ""对象"", ""研究生"", ""选拔"", ""评价""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:19,2026-04-12 14:59:19
9,会计学院召开2026年第三次学工例会,https://kjxy.hbue.edu.cn/9b/9e/c1679a367518/page.htm,会计学院,2026-03-24,2026-04-12 14:59:20,,通知公告,,,,,,"3月23日下午，会计学院在群贤楼224会议室召开2026年第三次学工工作部署例会。本次会议由学院党委书记李阳阳主持，全体辅导员参会，重点围绕学生管理、学风建设、心理健康、就业服务、党建工作等年度核心任务进行系统部署，明确各项工作的时间节点、责任要求与推进路径，确保全年学生工作平稳有序、高效落地。

一、核心工作部署

（一）就业服务提质增效

聚焦毕业生就业核心需求，重点推进三项工作：一是4月前完成学院专场招聘会、湖北经济学院2026年校友企业招聘会的宣传动员工作，确保毕业生应知尽知；二是同步开展生涯访谈大赛、模拟求职大赛，通过实战演练提升学生求职竞争力；三是建立重点群体就业帮扶台账，实现精准对接、分类指导，全力提升就业质量。

（二）学科竞赛与创新创业融合

以2026年中国国际大学生创新大赛湖北经济学院选拔赛为抓手，3月底前完成参赛团队动员招募工作，后续集中开展项目打磨、导师结对指导专项工作，力争在赛事中取得优异成绩，同时营造“以赛促学、以赛促创”的浓厚学风，切实提升学生创新实践能力。

（三）心理健康工作精准落地

一是规范心理健康月报表填报标准，避免使用“无异常”等模糊表述，确保数据翔实、情况具体、研判精准；二是在4月中旬前完成2026年春季心理普测全覆盖工作，建立动态心理监测台账；三是做好湖北经济学院第十九届“心灵剧场”参赛作品筹备，目前2部剧本已进入演员招募阶段，需广泛动员学生参与，打造高质量参赛作品；四是完成5名校级优秀心委评选工作，择优推荐前2名参与校级“十佳心委”评选，充分发挥学生骨干的示范引领作用。

（四）团学文化活动有序推进

一方面正式启动2026年五四评优评先工作，严格按照评选标准和程序，开展先进团支部、优秀团员、优秀团干部及五四红旗标兵评选，树立青年榜样，激发团学活力；另一方面启动毕业晚会筹备工作，面向全院征集文艺表演节目，打造兼具思想性、艺术性的毕业文化活动，为毕业生留下美好青春记忆。

（五）党建工作规范开展

严格落实党员发展工作流程，目前本硕入党积极分子选拔工作已完成，下一步将开展材料复审工作，后续按程序启动发展对象、预备党员的推荐、选拔与培养考察工作，严把党员发展入口关，确保党员发展质量。

二、会议总结要求

学院党委书记李阳阳在总结讲话中强调，全体辅导员要进一步提高政治站位，强化责任担当，对照各项工作任务清单细化举措、狠抓落实，切实把学生教育、管理、服务各项工作做深做细做实，不断提升学院学生工作的规范化、精细化水平，助力学生成长成才。","[""工作"", ""学生"", ""就业"", ""完成"", ""确保""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:20,2026-04-12 14:59:20
10,关于确定张妙涵为入党积极分子的公示,https://kjxy.hbue.edu.cn/9b/93/c1679a367507/page.htm,会计学院,2026-03-23,2026-04-12 14:59:21,,通知公告,,,,,,"按照发展党员工作相关要求，会计学院审计系教师党支部于2026年3月确定张妙涵为入党积极分子。

张妙涵自递交入党申请书以来，在政治思想上与党中央保持高度一致，自觉学习党的理论知识，入党动机端正，综合素质全面发展，模范作用突出，具备入党积极分子基本条件，现予以公示。公示时间为2026年3月23日到3月27日（5个工作日）。

广大师生如有异议，请于2026年3月27日17:00之前，向会计学院张呈、邵醒丽反映，地点：群贤楼218，电话：027-81977053。反映情况要实事求是，具体真实，提倡实名，以便于调查核实。

会计学院审计系教师党支部

2026年3月23日","[""入党"", ""张妙涵"", ""积极分子"", ""公示"", ""会计学院""]",[],hbue_kjxy_notice_spider,2026-04-12 06:59:21,2026-04-12 14:59:21
